Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
POL000897,66.0,Female,Property,33371.87,0,1,5862.45,17327.97,High
POL000898,42.0,Male,Property,30000.0,3,0,4715.1,3738.96,Medium
POL000899,73.0,Male,Auto,71238.3,4,0,4108.66,10014.59,High
POL000900,50.0,Female,Life,58420.89,2,0,624.91,14811.49,Medium
POL000901,55.0,Male,Auto,80196.51,5,0,1428.7,10252.11,High
POL000902,70.0,Female,Health,78314.94,2,0,2099.88,884.09,Medium
POL000903,23.0,Female,Health,34919.58,1,1,5543.3,23503.24,High
POL000904,75.0,Female,Health,30000.0,2,1,6497.95,8367.11,High
POL000905,61.0,Male,Life,82398.33,3,0,4983.43,2445.3,Medium
POL000906,62.0,Male,Health,78385.72,0,0,1929.3,2815.92,Low
POL000907,49.0,Male,Auto,64354.55,1,0,4646.22,4177.45,Low
POL000908,62.0,Male,Life,33571.41,1,0,3643.85,5654.36,Low
POL000909,78.0,Male,Auto,86784.78,1,0,4491.79,5938.48,Low
POL000910,,,Property,106797.49,2,0,4651.81,7540.72,Medium
POL000911,38.0,Female,Life,81949.56,4,1,6488.04,25385.07,High
POL000912,33.0,Female,Auto,53813.15,4,0,4423.79,14900.9,High
POL000913,71.0,Female,Auto,76113.8,3,0,4924.58,393.74,Medium
POL000914,38.0,Male,Life,40847.15,2,0,3502.03,7457.15,Medium
POL000915,28.0,Female,Property,,6,0,1665.7,11306.0,High
POL000916,77.0,Female,Life,77046.11,4,0,1711.95,1192.09,High
POL000917,54.0,Male,Health,30796.08,0,1,3529.84,22857.57,High
POL000918,53.0,Female,Health,67483.14,1,0,1978.92,14071.9,Low
POL000919,52.0,Male,Property,86582.54,1,0,2349.71,3205.05,Low
POL000920,36.0,Female,Auto,66673.81,2,0,2869.35,11807.61,Medium
POL000921,37.0,Other,Auto,68102.61,1,0,4602.58,8763.84,Low
POL000922,74.0,Male,Auto,44389.94,0,0,3700.94,605.11,Low
POL000923,35.0,Female,Life,89163.52,0,0,1809.44,4529.8,Low
POL000924,64.0,Female,Life,58788.27,1,0,1101.54,4024.3,Low
POL000925,58.0,Other,Property,30000.0,1,0,1804.1,13207.8,Low
POL000926,66.0,Male,Health,65718.57,0,0,2000.84,13472.76,Low
POL000927,31.0,Female,Auto,99528.74,1,0,3796.79,613.56,Low
POL000928,32.0,Male,Health,65326.76,2,0,2413.6,11147.03,Medium
POL000929,48.0,Male,Life,118449.62,2,0,4990.71,1885.81,Medium
POL000930,18.0,Male,Life,85724.2,2,0,655.22,11884.77,Medium
POL000931,70.0,Other,Life,83468.95,0,1,5434.24,21445.61,High
POL000932,71.0,Female,Health,71790.04,2,1,6690.39,18509.58,High
POL000933,,,Property,73292.84,2,0,2105.25,4961.28,Medium
POL000934,20.0,Female,Property,68414.41,2,0,2451.71,5757.45,Medium
POL000935,33.0,Male,Life,,1,0,4510.16,14331.71,Low
POL000936,40.0,Male,Auto,88271.68,2,0,2414.13,5626.69,Medium
POL000937,74.0,Male,Health,51604.22,3,0,614.76,3914.35,Medium
POL000938,28.0,Male,Life,48102.65,1,0,4798.35,9333.49,Low
POL000939,29.0,Male,Health,46920.12,2,1,5021.78,11512.35,High
POL000940,27.0,Male,Health,126141.36,0,0,3981.7,9413.77,Low
POL000941,49.0,Male,Property,88258.57,3,0,1401.21,6932.76,Medium
POL000942,33.0,Male,Life,82612.31,1,0,4655.0,10998.44,Low
POL000943,25.0,Male,Property,48562.13,4,1,3135.61,14567.02,High
POL000944,55.0,Male,Life,90583.56,2,0,4348.25,2731.08,Medium
POL000945,29.0,Other,Health,72085.72,2,0,2365.51,14066.91,Medium
POL000946,41.0,Female,Property,80354.22,1,0,2512.14,6786.84,Low
POL000947,45.0,Other,Health,50584.49,1,0,3331.43,11193.97,Low
POL000948,70.0,Male,Life,79006.72,2,0,2693.4,8025.93,Medium
POL000949,25.0,Male,Auto,64404.16,3,1,5008.06,9516.0,High
POL000950,75.0,Female,Property,55859.72,1,0,1591.72,5121.68,Low
POL000951,45.0,Male,Property,93352.66,3,0,1698.06,9619.07,Medium
POL000952,53.0,Male,Health,36557.3,2,1,3761.25,20389.54,High
POL000953,43.0,Male,Health,89119.41,2,0,989.37,1258.32,Medium
POL000954,25.0,Male,Auto,92112.15,1,0,3027.05,12668.71,Low
POL000955,75.0,Male,Property,53008.91,2,0,2207.79,12293.82,Medium
POL000956,77.0,Male,Life,54491.79,1,0,2089.05,5453.47,Low
POL000957,67.0,Female,Life,69424.36,2,0,3719.71,10172.6,Medium
POL000958,45.0,Male,Property,82050.91,3,0,2764.52,12451.87,Medium
POL000959,45.0,Male,Property,71178.63,2,0,847.37,2243.43,Medium
POL000960,54.0,Female,Property,85839.06,1,0,4593.05,14772.58,Low
POL000961,58.0,Male,Auto,119074.49,1,0,4541.09,13299.19,Low
POL000962,53.0,Male,Life,62307.08,0,0,2414.1,10394.65,Low
POL000963,44.0,Female,Life,32120.5,0,1,5464.27,14839.45,High
POL000964,71.0,Male,Health,95648.09,2,0,771.13,13434.4,Medium
POL000965,34.0,Male,Health,117082.86,1,0,2712.19,11116.05,Low
POL000966,26.0,Female,Property,84819.21,2,0,866.43,8812.27,Medium
POL000967,86.0,Male,Health,47806.28,2,0,2494.52,13384.67,Medium
POL000968,70.0,Female,Auto,71902.69,0,0,1353.86,3238.23,Low
POL000969,37.0,Female,Life,47036.91,2,0,4111.12,3741.18,Medium
POL000970,30.0,Male,Life,91071.39,2,0,2154.08,13958.67,Medium
POL000971,45.0,Female,Health,41217.74,1,0,2203.2,1099.74,Low
POL000972,65.0,Female,Property,67496.78,1,0,612.21,787.77,Low
POL000973,46.0,Male,Health,49891.55,1,0,3441.94,11899.94,Low
POL000974,30.0,Female,Property,78170.62,3,1,6652.06,9931.26,High
POL000975,63.0,Male,Auto,,1,0,1685.64,13752.21,Low
POL000976,52.0,Female,Life,79419.05,2,0,3275.58,4580.28,Medium
POL000977,78.0,Male,Auto,75558.76,0,0,3411.03,4379.75,Low
POL000978,23.0,Male,Life,50333.52,0,0,3333.49,14362.53,Low
POL000979,35.0,Male,Auto,90671.93,0,0,3642.38,8351.14,Low
POL000980,68.0,Female,Health,73780.86,3,1,3323.69,14923.56,High
POL000981,22.0,Male,Auto,50286.77,0,0,3911.22,13481.35,Low
POL000982,64.0,Male,Auto,131023.16,0,0,3083.15,5774.21,Low
POL000983,42.0,Male,Health,86910.75,2,0,4724.94,3793.13,Medium
POL000984,19.0,Female,Life,71168.49,0,0,4012.07,8608.97,Low
POL000985,27.0,Female,Life,110380.11,0,1,3530.55,28908.02,High
POL000986,73.0,Female,Health,121045.39,1,0,2785.22,2537.5,Low
POL000987,47.0,Female,Auto,71366.26,1,0,3652.14,1867.16,Low
POL000988,67.0,Female,Auto,83684.94,0,0,4383.86,10909.34,Low
POL000989,76.0,Male,Auto,50299.93,0,0,2928.98,609.64,Low
POL000990,62.0,Female,Property,71320.18,3,1,4922.47,14015.09,High
POL000991,22.0,Female,Life,70023.44,1,0,3763.55,5011.76,Low
POL000992,72.0,Other,Auto,79620.68,1,0,3892.02,2348.54,Low
POL000993,73.0,Female,Life,83319.01,0,0,4673.05,13370.94,Low
POL000994,50.0,Male,Auto,88995.71,3,1,3360.15,11967.24,High
POL000995,71.0,Male,Health,80941.07,1,0,3176.0,11619.17,Low
POL000996,18.0,Female,Health,44731.43,3,0,1726.97,6594.73,Medium
POL000997,35.0,Female,Life,51538.32,2,0,2881.33,9760.38,Medium
POL000998,49.0,Female,Life,61339.81,2,0,2496.42,1449.09,Medium
POL000999,64.0,Female,Health,67943.99,0,0,2558.4,2175.22,Low
POL001000,66.0,Female,Property,101269.36,1,0,1438.6,4906.28,Low
POL001001,28.0,Male,Health,45926.53,1,0,3314.75,6920.86,Low
POL001002,38.0,Female,Auto,66064.62,0,0,4080.1,1497.9,Low
POL001003,43.0,Male,Property,98825.24,5,1,4834.68,9501.02,High
POL001004,42.0,Male,Health,67503.06,0,0,1057.67,3673.06,Low
POL001005,,,Property,86510.39,4,0,1649.12,11640.91,High
POL001006,76.0,Female,Property,71511.45,0,0,3898.54,106.99,Low
POL001007,44.0,Male,Property,81419.58,0,0,785.32,13004.57,Low
POL001008,66.0,Male,Life,69288.19,0,0,3280.11,11015.43,Low
POL001009,30.0,,Health,,0,0,4189.14,8237.97,Low
POL001010,50.0,Male,Life,36373.59,1,0,4107.45,11089.25,Low
POL001011,51.0,Female,Life,65917.2,0,0,4943.92,5532.24,Low
POL001012,58.0,Female,Auto,82414.32,1,1,6463.05,26852.97,High
POL001013,52.0,Female,Auto,88342.38,1,1,3495.11,28098.52,High
POL001014,18.0,Female,Property,112323.82,2,1,4447.62,24829.45,High
POL001015,38.0,Male,Property,65224.38,0,0,1476.42,4449.94,Low
POL001016,89.0,Female,Auto,111987.04,3,1,6482.91,15539.16,High
POL001017,72.0,Male,Auto,58524.4,3,0,3366.12,13018.44,Medium
POL001018,23.0,Female,Health,108216.16,3,0,1804.25,10905.0,Medium
POL001019,45.0,Male,Property,95436.68,1,0,1079.46,14853.62,Low
POL001020,34.0,Female,Property,52163.54,0,0,3713.91,9957.31,Low
POL001021,22.0,Male,Auto,82675.98,1,0,1027.38,13440.96,Low
POL001022,48.0,Male,Health,73719.1,2,0,4765.57,1863.21,Medium
POL001023,22.0,Male,Auto,90639.61,2,1,3796.52,12285.81,High
POL001024,55.0,Male,Auto,69418.21,1,0,3939.83,1384.74,Low
POL001025,20.0,Female,Life,67318.84,1,0,4209.26,1509.1,Low
POL001026,70.0,Male,Property,109227.36,1,0,3393.55,12881.75,Low
POL001027,40.0,Female,Health,72531.98,3,0,3658.99,5465.27,Medium
POL001028,54.0,Other,Life,95660.56,1,0,4056.57,4814.84,Low
POL001029,70.0,Female,Property,69366.21,1,0,2543.41,2838.37,Low
POL001030,54.0,Male,Auto,116666.58,1,0,512.4,7325.64,Low
POL001031,27.0,Male,Health,58041.63,2,1,4888.16,14827.89,High
POL001032,27.0,Female,Property,59646.41,0,0,1592.25,8113.93,Low
POL001033,36.0,Male,Auto,113112.93,2,0,1173.6,9940.53,Medium
POL001034,34.0,Male,Life,63876.34,4,1,6716.94,13208.4,High
POL001035,38.0,Female,Health,115026.86,1,0,2935.57,5533.28,Low
POL001036,31.0,Female,Property,97296.01,2,0,1740.47,10590.16,Medium
POL001037,26.0,Female,Life,71133.76,1,0,4692.94,4064.65,Low
POL001038,63.0,Male,Auto,30000.0,0,1,4674.5,10923.9,High
POL001039,18.0,Female,Auto,74517.04,5,1,4995.29,18432.97,High
POL001040,125.0,Male,Property,77540.75,0,0,4802.82,14501.82,Low
POL001041,62.0,Male,Auto,104180.44,0,0,919.5,6560.24,Low
POL001042,30.0,Female,Health,114711.18,2,0,4719.24,5076.54,Medium
POL001043,21.0,Male,,57875.32,3,0,2571.64,9404.79,Medium
POL001044,79.0,Male,Life,,2,0,2576.45,13198.55,Medium
POL001045,18.0,Male,Property,94135.05,1,0,2539.95,5353.31,Low
POL001046,,,Property,101835.32,0,0,2437.25,1143.63,Low
POL001047,57.0,Female,Life,87467.25,1,0,2918.2,5372.12,Low
POL001048,49.0,Female,Auto,30000.0,2,0,4978.22,175.79,Medium
POL001049,51.0,Female,Life,71114.44,2,0,565.16,2857.13,Medium
POL001050,45.0,Male,Health,46107.31,1,0,2750.31,874.91,Low
POL001051,48.0,Male,Auto,69934.86,3,1,5451.59,29200.19,High
POL001052,25.0,Male,Property,99500.11,1,0,1271.63,990.26,Low
POL001053,56.0,Male,Auto,82628.77,1,0,4662.92,14760.5,Low
POL001054,43.0,Female,Auto,103702.27,0,0,2230.19,11750.55,Low
POL001055,75.0,Female,Health,83543.85,3,1,4413.04,18238.99,High
POL001056,51.0,Male,Auto,42541.85,6,0,4686.7,11877.29,High
POL001057,71.0,Male,Auto,30000.0,4,1,3673.7,10864.99,High
POL001058,71.0,Male,Auto,78720.22,2,0,1796.89,9741.51,Medium
POL001059,20.0,Male,Property,69651.84,1,1,3790.26,15631.38,High
POL001060,76.0,Female,Auto,50576.36,0,0,3192.65,10297.6,Low
POL001061,67.0,Male,Life,32484.32,0,0,4602.17,1359.21,Low
POL001062,127.0,Male,Auto,56631.42,2,0,863.43,747.94,Medium
POL001063,18.0,Female,Health,70137.71,4,0,2506.65,8591.58,High
POL001064,71.0,Male,Auto,91646.95,1,0,3490.83,3026.79,Low
POL001065,61.0,Female,Auto,79715.78,2,0,953.2,14762.99,Medium
POL001066,22.0,Male,Property,115201.68,1,1,5920.49,10225.56,High
POL001067,47.0,Female,Life,49109.9,2,0,1420.23,11253.04,Medium
POL001068,47.0,Other,Auto,97026.47,0,0,1090.91,732.41,Low
POL001069,76.0,Female,Life,76182.47,0,0,2200.19,9202.0,Low
POL001070,74.0,Male,Health,92366.73,3,0,2345.84,6358.65,Medium
POL001071,34.0,Female,Property,64087.13,0,0,2537.36,9529.07,Low
POL001072,65.0,Male,Life,101792.01,2,0,2710.04,11453.18,Medium
POL001073,64.0,Male,Property,82380.62,2,0,762.13,594.69,Medium
POL001074,40.0,Male,Auto,58013.88,1,1,5674.42,25556.4,High
POL001075,32.0,Male,Health,74699.4,2,0,3801.73,14140.86,Medium
POL001076,54.0,Female,Property,69011.1,0,0,1117.54,3344.97,Low
POL001077,38.0,,,87229.46,3,0,1521.35,1254.28,Medium
POL001078,31.0,Female,Life,45505.58,5,0,1762.54,11587.38,High
POL001079,19.0,Female,Health,74266.21,3,0,2372.84,11147.48,Medium
POL001080,28.0,Female,Health,84882.68,1,0,2307.03,5913.3,Low
POL001081,68.0,Male,Life,75825.58,0,0,1425.52,12470.68,Low
POL001082,56.0,Male,Life,108673.53,2,0,830.61,8204.13,Medium
POL001083,55.0,,Health,,0,0,1807.09,7182.87,Low
POL001084,77.0,Male,Property,74812.98,0,1,4011.33,26514.12,High
POL001085,111.0,Female,Health,80417.23,2,0,762.57,1562.28,Medium
POL001086,55.0,Male,Life,82391.64,0,1,3525.07,9242.58,High
POL001087,67.0,Male,Property,85082.49,2,0,1367.53,6717.62,Medium
POL001088,51.0,Male,Auto,30000.0,3,0,3706.3,1372.95,Medium
POL001089,35.0,Male,Health,67461.84,1,0,1991.51,14938.49,Low
POL001090,47.0,Male,Life,37889.02,1,0,2287.75,4771.61,Low
POL001091,32.0,Female,Auto,106957.02,3,0,4626.96,14221.39,Medium
POL001092,44.0,Male,Health,73478.76,1,0,3250.39,7169.33,Low
POL001093,68.0,Female,Health,70166.48,4,1,4629.73,27613.09,High
POL001094,51.0,Male,Property,97419.93,1,0,3582.1,6655.78,Low
POL001095,69.0,Male,Life,85558.12,7,1,4061.1,25908.62,High
POL001096,74.0,Male,Auto,46784.14,2,0,3072.06,11291.37,Medium
POL001097,55.0,Female,Health,73227.37,4,0,1624.65,14208.74,High
POL001098,50.0,Male,Property,,2,0,3624.63,9598.03,Medium
POL001099,41.0,Female,Auto,31386.68,0,1,4998.87,11781.81,High
POL001100,32.0,Male,Auto,57743.09,4,0,4854.1,8174.33,High
POL001101,77.0,Female,Health,70411.49,1,0,3279.88,2273.53,Low
POL001102,47.0,Male,Auto,72126.23,1,0,4198.85,5089.56,Low
POL001103,72.0,Female,Health,37944.21,5,0,3697.77,11858.9,High
POL001104,59.0,Female,Property,103791.64,0,0,3987.67,308.12,Low
POL001105,68.0,Female,,72447.42,1,1,3389.65,20650.1,High
POL001106,34.0,Male,Auto,75938.83,0,0,1809.8,10425.5,Low
POL001107,22.0,Male,Health,85016.04,1,0,894.21,13506.88,Low
POL001108,46.0,Male,Life,55298.09,1,0,3739.61,11371.34,Low
POL001109,21.0,Female,Property,86408.9,5,0,4232.82,6102.06,High
POL001110,27.0,Female,Health,,2,1,4124.69,11731.31,High
POL001111,73.0,Female,Health,52585.36,4,0,678.3,9419.63,High
POL001112,34.0,Male,Health,89336.19,1,0,747.43,8842.59,Low
POL001113,108.0,,,112291.85,3,0,964.09,1198.77,Medium
POL001114,34.0,Male,Life,93120.73,0,0,4209.99,8141.27,Low
POL001115,77.0,Other,Auto,98074.44,0,0,3247.83,13019.74,Low
POL001116,37.0,Female,Property,,3,0,3153.67,6609.08,Medium
POL001117,41.0,Female,Auto,35059.51,2,0,1459.99,10591.95,Medium
POL001118,22.0,Male,Health,112253.44,0,0,844.5,13565.69,Low
POL001119,51.0,Female,Auto,126362.87,3,0,4082.53,8059.12,Medium
POL001120,23.0,Female,Health,113570.17,2,0,4227.82,1413.05,Medium
POL001121,70.0,Male,Life,66605.35,2,1,6511.32,12869.61,High
POL001122,19.0,Female,Auto,46134.14,2,1,3371.5,18772.82,High
POL001123,30.0,Female,Auto,48357.93,3,1,3607.4,27458.88,High
POL001124,79.0,Female,Auto,32906.69,1,0,4153.88,14983.87,Low
POL001125,60.0,Female,Health,72315.53,1,0,809.04,1999.88,Low
POL001126,60.0,Male,Health,115141.95,4,0,2051.28,11649.56,High
POL001127,,,Auto,71458.43,1,0,3966.86,13028.98,Low
POL001128,28.0,Other,Auto,82558.07,3,0,1799.48,4665.79,Medium
POL001129,,Male,Life,109389.92,4,1,5005.02,29160.91,High
POL001130,64.0,Female,Life,64897.62,1,0,1176.54,14290.39,Low
POL001131,74.0,Female,Property,125888.29,2,0,4827.59,14331.81,Medium
POL001132,40.0,Female,Life,124802.36,2,0,3201.09,13958.67,Medium
POL001133,72.0,Other,Life,71722.22,0,0,1296.31,4196.11,Low
POL001134,33.0,Male,Life,60561.64,1,0,3414.62,987.2,Low
POL001135,48.0,Male,Health,92430.95,1,0,3304.91,1631.57,Low
POL001136,28.0,Male,Life,66311.88,0,0,2335.1,2213.96,Low
POL001137,71.0,Male,Life,46086.12,1,0,3500.51,10108.0,Low
POL001138,33.0,Male,Auto,107030.97,2,1,4819.84,20842.86,High
POL001139,25.0,Male,Health,105411.18,1,0,1946.36,849.85,Low
POL001140,21.0,Female,Property,78887.79,4,0,669.12,13367.04,High
POL001141,57.0,Female,Property,43428.38,2,1,6754.88,25997.64,High
POL001142,21.0,Male,Life,44261.84,1,0,4518.44,8001.26,Low
POL001143,73.0,Male,Property,77680.73,2,0,1417.79,14850.41,Medium
POL001144,42.0,Female,Property,62503.22,1,0,3684.45,4051.27,Low
POL001145,20.0,Male,Property,66472.68,2,0,4158.78,3348.32,Medium
POL001146,49.0,Male,Life,100549.08,0,0,2332.42,5088.56,Low
POL001147,121.0,Male,Property,93329.48,3,0,4176.24,7945.16,Medium
POL001148,44.0,Female,Life,109453.57,0,0,2715.78,5863.87,Low
POL001149,116.0,Male,Auto,50234.42,0,0,4087.42,12459.57,Low
POL001150,49.0,Other,Auto,66420.21,1,0,3908.08,13427.91,Low
POL001151,67.0,Male,Property,93974.54,2,0,3028.59,14503.35,Medium
POL001152,78.0,Female,Auto,86201.96,1,1,3723.14,16599.25,High
POL001153,75.0,Male,Life,113309.51,2,0,1817.51,9160.88,Medium
POL001154,68.0,Male,Auto,85513.42,1,0,2351.42,9242.87,Low
POL001155,36.0,Female,Property,121202.73,0,0,2262.84,2878.72,Low
POL001156,38.0,Female,Life,88500.45,0,0,964.67,4021.86,Low
POL001157,22.0,Female,Health,101554.19,1,0,2858.35,14959.17,Low
POL001158,35.0,Female,Life,66912.13,2,1,6906.51,13238.56,High
POL001159,45.0,Female,Auto,75357.18,2,0,4860.54,7056.42,Medium
POL001160,59.0,Female,Health,97773.61,2,0,1772.97,5841.12,Medium
POL001161,78.0,Female,Life,115324.45,1,0,2297.56,10355.05,Low
POL001162,39.0,Male,Health,93230.92,1,0,2983.44,5098.9,Low
POL001163,38.0,Male,Health,72920.71,1,0,4338.66,10275.95,Low
POL001164,23.0,Male,Health,109433.38,0,0,1660.84,14415.95,Low
POL001165,,,Life,30000.0,0,0,1554.39,3860.56,Low
POL001166,22.0,Male,Auto,39444.14,0,1,4590.78,9888.18,High
POL001167,58.0,Male,Life,92040.86,2,1,3559.78,11077.49,High
POL001168,29.0,Female,Auto,75352.71,0,0,3633.92,4575.32,Low
POL001169,43.0,Female,Life,90137.84,2,0,4369.04,4127.24,Medium
POL001170,63.0,Female,Life,76610.19,2,0,632.77,9487.64,Medium
POL001171,51.0,Male,Life,89273.64,1,0,1377.37,8266.84,Low
POL001172,66.0,Female,Auto,54639.93,4,0,3106.03,7679.13,High
POL001173,31.0,Male,Life,89262.15,1,1,3957.17,18518.79,High
POL001174,43.0,Male,Health,99860.36,3,0,2705.34,2283.3,Medium
POL001175,62.0,Male,Life,105513.77,2,0,4029.59,2628.91,Medium
POL001176,44.0,Male,Health,125338.86,1,0,2400.13,7744.61,Low
POL001177,26.0,Male,Property,81102.46,5,0,2243.91,5370.53,High
POL001178,43.0,Female,Property,81847.78,5,0,1317.44,2689.45,High
POL001179,74.0,Male,Auto,36920.69,0,1,6370.96,9762.29,High
POL001180,64.0,Female,Auto,61714.71,3,1,6678.67,21922.96,High
POL001181,74.0,Female,Property,70172.95,2,0,1262.12,3113.35,Medium
POL001182,39.0,Male,Life,101257.99,1,0,2334.83,4039.64,Low
POL001183,64.0,Female,Life,59724.97,3,0,2952.51,10873.48,Medium
POL001184,73.0,Male,Life,94908.5,2,0,1689.78,4979.35,Medium
POL001185,47.0,Female,Property,74959.46,2,1,4646.62,15570.36,High
POL001186,,Male,Health,70570.8,1,0,2321.45,14487.46,Low
POL001187,65.0,Male,Auto,81222.35,2,0,2195.3,1411.87,Medium
POL001188,78.0,,,65221.09,0,0,1301.8,2289.02,Low
POL001189,34.0,Female,Property,64274.07,1,0,1489.09,10787.45,Low
POL001190,43.0,Female,Health,32380.35,3,0,1810.76,6443.1,Medium
POL001191,53.0,Male,Life,68801.14,1,0,2071.98,11318.68,Low
POL001192,,,Life,63000.8,3,0,3655.84,8336.39,Medium
POL001193,,,Health,62100.48,1,0,4983.37,699.21,Low
POL001194,66.0,Female,Property,85421.83,2,0,2779.51,10293.8,Medium
POL001195,52.0,Female,Health,91465.8,0,0,3674.09,12105.87,Low
POL001196,78.0,Female,Life,80804.86,0,0,1596.69,8334.86,Low
POL001197,69.0,Female,Life,99885.38,0,1,6769.94,16451.75,High
POL001198,32.0,Female,Property,89389.05,2,0,4146.76,331.28,Medium
POL001199,64.0,Male,Health,67623.6,1,0,3582.84,13609.57,Low
POL001200,73.0,Male,Life,63428.59,4,1,4893.35,16565.7,High
POL001201,39.0,Male,Life,82820.56,1,1,5933.94,28868.94,High
POL001202,31.0,Female,Health,89344.18,1,0,4857.01,12624.82,Low
POL001203,43.0,Female,Health,109946.11,1,0,3763.42,890.61,Low
POL001204,45.0,Male,Auto,104779.33,3,0,1114.58,10700.99,Medium
POL001205,40.0,Female,Property,61463.17,0,0,2983.29,10441.6,Low
POL001206,31.0,Male,Property,72449.84,5,0,3249.54,13750.61,High
POL001207,41.0,Male,Health,91775.45,0,0,2495.53,2564.9,Low
POL001208,19.0,Other,Property,101699.94,0,0,2622.93,8552.34,Low
POL001209,62.0,Male,Life,98474.24,0,0,2956.95,8216.09,Low
POL001210,43.0,Male,Health,73403.05,1,0,4106.78,621.19,Low
POL001211,31.0,Female,Health,43649.43,3,1,5306.07,10119.19,High
POL001212,76.0,Female,Health,50026.59,0,0,4822.69,3885.04,Low
POL001213,73.0,Male,Auto,81815.84,0,1,4735.69,22617.2,High
POL001214,68.0,Female,Property,83555.64,3,0,996.11,3696.17,Medium
POL001215,24.0,Female,Auto,47533.02,3,0,3247.43,933.26,Medium
POL001216,20.0,Male,Life,76114.24,0,0,3667.26,2582.76,Low
POL001217,64.0,Male,Property,90780.61,0,0,2029.75,3188.89,Low
POL001218,40.0,Female,Auto,46219.33,0,0,4931.82,8702.15,Low
POL001219,63.0,Male,Health,102624.93,2,1,4768.16,16992.64,High
POL001220,60.0,Female,Auto,65561.72,1,0,2719.09,13818.64,Low
POL001221,64.0,Female,Health,106440.33,4,0,3758.9,3553.62,High
POL001222,77.0,Other,Auto,61663.69,1,1,3783.37,21495.0,High
POL001223,112.0,Male,Auto,49334.36,1,0,1398.3,2447.96,Low
POL001224,35.0,Other,Auto,63546.58,3,0,1217.16,11947.48,Medium
POL001225,75.0,Male,Health,72621.3,0,0,1804.91,1165.54,Low
POL001226,55.0,Male,Auto,65288.0,2,0,4530.78,11090.14,Medium
POL001227,52.0,Male,Property,69599.96,1,0,2190.8,5958.16,Low
POL001228,68.0,Male,Property,83349.13,0,0,4580.18,7036.24,Low
POL001229,32.0,Female,Property,70720.52,1,0,4091.48,5558.16,Low
POL001230,42.0,Male,Health,73347.19,1,0,3231.12,6090.51,Low
POL001231,72.0,Male,Health,32269.34,2,1,4579.82,18283.98,High
POL001232,54.0,Female,Property,84792.45,1,0,1352.58,489.63,Low
POL001233,45.0,Male,Property,72769.92,2,0,843.0,11929.65,Medium
POL001234,27.0,Female,Property,115257.32,1,1,5184.98,17551.4,High
POL001235,56.0,Male,Life,51510.87,1,1,5456.24,23974.8,High
POL001236,74.0,Female,Property,30000.0,2,0,2223.92,9834.55,Medium
POL001237,34.0,Female,Auto,90451.71,4,0,520.95,10499.92,High
POL001238,56.0,Male,Life,83663.18,0,0,3948.49,9000.39,Low
POL001239,39.0,Male,Life,49789.17,2,0,2142.23,9468.92,Medium
POL001240,43.0,Male,Health,36756.28,1,1,5974.06,21521.56,High
POL001241,,,Auto,113434.92,0,0,1442.29,13929.86,Low
POL001242,61.0,Male,Health,110352.76,4,0,3565.94,10002.32,High
POL001243,42.0,Male,Health,30000.0,0,0,2893.53,5358.73,Low
POL001244,34.0,Male,Auto,63544.42,2,0,626.52,5413.88,Medium
POL001245,30.0,Male,Health,116604.8,0,1,6825.46,17046.18,High
POL001246,37.0,Female,Auto,63098.44,2,0,2469.8,14877.6,Medium
POL001247,42.0,Female,Auto,62734.69,2,0,1237.71,13372.41,Medium
POL001248,21.0,Male,Health,67931.02,2,0,4575.36,741.73,Medium
POL001249,27.0,Male,Property,46977.58,2,0,969.61,12940.51,Medium
POL001250,20.0,Female,Health,32380.61,0,1,3643.67,11905.11,High
POL001251,58.0,Female,Life,101313.68,0,1,4858.99,29813.03,High
POL001252,62.0,Male,Health,30000.0,2,0,4707.37,10243.7,Medium
POL001253,35.0,Male,Auto,81181.79,2,0,1098.19,10980.2,Medium
POL001254,64.0,Male,,97164.49,2,0,3999.76,7635.67,Medium
POL001255,53.0,Female,Auto,38719.34,1,0,4816.51,14519.38,Low
POL001256,64.0,Male,Property,51893.29,2,0,4806.39,7395.26,Medium
POL001257,39.0,Female,Property,105329.48,1,0,1652.92,3949.57,Low
POL001258,51.0,Female,Life,88322.29,1,0,1834.1,234.99,Low
POL001259,64.0,Female,Property,59567.86,0,0,1172.68,13022.78,Low
POL001260,25.0,Male,Property,105056.23,1,0,2176.87,5990.11,Low
POL001261,57.0,Male,Health,105163.39,1,0,3569.43,11759.81,Low
POL001262,66.0,Male,Health,81726.32,0,0,548.4,11630.42,Low
POL001263,61.0,Male,Property,52495.99,2,0,3426.38,749.14,Medium
POL001264,36.0,Female,Property,64663.78,1,0,580.22,12341.45,Low
POL001265,59.0,Other,Health,,1,0,3503.31,4408.3,Low
POL001266,58.0,Female,Property,,1,0,4281.93,12634.34,Low
POL001267,54.0,Female,Property,98473.93,0,0,2120.72,7433.36,Low
POL001268,23.0,Male,Auto,36755.65,0,1,5788.63,21981.9,High
POL001269,69.0,Male,Property,37643.41,3,1,6094.68,12017.19,High
POL001270,43.0,Male,Life,79521.78,1,0,4141.73,5751.41,Low
POL001271,51.0,Female,Auto,62711.39,1,0,4998.41,14566.32,Low
POL001272,76.0,Female,Life,59323.78,3,0,2932.74,13895.77,Medium
POL001273,73.0,Female,Property,30798.58,1,0,4345.63,14913.6,Low
POL001274,76.0,Male,Health,75488.65,2,0,752.52,7702.21,Medium
